date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:37	240247/240247	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2020:00:38%20GMT	https://www.portotheme.com/wordpress/porto/shop1/	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/index.html	(from )
14:00:37	129/129	---MCZ	200	added ('OK')	text/plain	date:Wed,%2010%20May%202023%2020:00:38%20GMT	https://www.portotheme.com/robots.txt		(from )
14:00:37	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2010%20May%202023%2020:00:39%20GMT	https://www.portotheme.com/wordpress/porto/shop1/xmlrpc.php	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/xmlrpc.php	(from https://www.portotheme.com/wordpress/porto/shop1/)
14:00:38	789/789	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Jan%202023%2022:48:42%20GMT	http://www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/favicon.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/favicon.png	(from https://www.portotheme.com/wordpress/porto/shop1/)
14:00:38	2171/2171	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Jan%202023%2022:48:42%20GMT	http://www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/apple-touch-icon.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/apple-touch-icon.png	(from https://www.portotheme.com/wordpress/porto/shop1/)
14:00:39	3626/3626	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Jan%202023%2022:48:42%20GMT	http://www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/apple-touch-icon_120x120.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/apple-touch-icon_120x120.png	(from https://www.portotheme.com/wordpress/porto/shop1/)
14:00:39	6971/6971	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2009%20May%202023%2003:05:06%20GMT	https://www.portotheme.com/wordpress/porto/shop1/comments/feed/	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/comments/feed/index.html	(from https://www.portotheme.com/wordpress/porto/shop1/)
14:00:39	2575/2575	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Jan%202023%2022:48:42%20GMT	http://www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/apple-touch-icon_76x76.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/apple-touch-icon_76x76.png	(from https://www.portotheme.com/wordpress/porto/shop1/)
14:00:39	15489/15489	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2009%20May%202023%2003:05:06%20GMT	https://www.portotheme.com/wordpress/porto/shop1/feed/	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/feed/index.html	(from https://www.portotheme.com/wordpress/porto/shop1/)
14:00:40	4514/4514	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Jan%202023%2022:48:42%20GMT	http://www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/apple-touch-icon_152x152.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/themes/porto/images/logo/apple-touch-icon_152x152.png	(from https://www.portotheme.com/wordpress/porto/shop1/)
